OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
11,,181575432,Mental Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,
12,,182115996,City Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""City Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""8"", ""capacity:beds""=>""2"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""b"
13,,185943151,Nepal Eye Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,
14,,185943152,Nepal Eye Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""emergency""=>""yes"", ""facility:icu""=>""yes"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""building_count""=>""1"", ""facility:x-ray""=>""yes"", ""personnel:count""=>""1"", ""opd:patients:count""=>""1"", ""facility:ventilator""=>""no"", ""facility:operating_theatre""=>"
32,,207412810,Suvechhya Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""emergency""=>""yes"""
15,,185943730,SAARCTuberculosis Center,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""SAARCTuberculosis Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""2000-2013"", ""column:size""=>""18x18"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""0"", ""operator:type""=>""government"
16,,191552792,Pawai Gamde Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""emergency""=>""yes"""
17,,194057065,,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""2"", ""operator""=>""welcare hospital and research centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""occupant:day""=>""40"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"""
18,,194732734,Panga Balkumari Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""buildi"
19,,194899597,Spinal Injury Rahabilitation Center,,,hospital,,,,hospital,,,,,,,,,,,,,,,
20,,197474200,BP Smriti Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""yes"", ""occupant:day""=>""113"", ""capacity:beds""=>""100"", ""operator:type""=>""community"", ""roof:material""=>""concrete"", ""build"
21,,197615452,Ishan Bal Tatha Mahila Aspataal,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""Ishan Bal Tatha Mahila Aspataal"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""yes"", ""occupant:day""=>""280"", ""capacity:beds""=>""50"", ""operator:type""=>""p"
22,,198110733,Annapurna Neurological Institute and Applied Sciences,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Annapurna Neurological Institute and Applied Sciences"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1990-2000"", ""column:size""=>""18x18"", ""facility:icu""=>""no"", ""capacity:beds""=>""15"", ""oper"
23,,201380503,swatha parichyan,,,hospital,,,,yes,,,,,,,,,,,,,,,"""service""=>""health"""
24,,205438152,Ayurvedic Hospital,,,hospital,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Tribhuwan University"""
169,,328914788,Urban Healt Clinic,,,clinic,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Bharatpur"", ""addr:street""=>""Aanpatari"""
170,,328915093,Parijaat Medical Hall,,,clinic,,,,yes,,,,,,,,,,,,,,,"""addr:city""=>""Bharatpur"", ""addr:street""=>""Baseni-11"", ""opening_hours""=>""8-20"""
25,,205723462,Revive Polyclinic Private Limited,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:b"
26,,206056043,MV Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""MV Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""50"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", """
27,,206056045,City Top Polyclinic and Medical Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""City Top Polyclinic and Medical Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""occupant:day""=>""8"", ""roof:material""=>""concrete"", ""Household Code""=>""O5_11B_1HH"","
28,,206130424,Pk Diagnostic Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Pk Diagnostic Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof"
29,,206715775,Sainbu Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""32"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building"
30,,206816619,Samaj Dental Care & clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Samaj Dental Care & clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""0"", ""operator:type""=>""private"","
31,,207106730,Dharmasthali Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Dhapasi Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material"
171,,330314049,,,,hospital,,,,yes,,,,,,,,,,,,,,,
33,,208681773,Nepal Plastic Surgery Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Nepal Plastic Surgery Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""15"", ""operator:t"
34,,209488771,Smile Dental Hospital,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:ba"
35,,209538203,Janaki Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Janaki Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:ma"
36,,211083277,Jana Swastha Kendra,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""50"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building"
37,,211651975,Sunaulo Vabisya Nepal,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Sunaulo Vabisya Nepal"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""21"", ""capacity:beds""=>""2"", ""operator:type""=>""private"", ""ro"
38,,211851297,Elite Pathology Clinic & dental House,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Elite Pathology Clinic & dental House"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:mater"
39,,211891413,Pukhulachi Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""phone""=>""9851087895"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""46"", ""capacity:beds""=>""1"", ""operator:type""=>""government"", ""roof:material""=>""metal"", ""building:ba"
172,,330314070,,,,hospital,,,,yes,,,,,,,,,,,,,,,
173,,338018478,Community Health Post,,,hospital,,,,yes,,,,,,,,,,,,,,,
40,,211897513,Natural Health Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""Natural Health Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""U-shape"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""10"", ""operator:type""=>""community"", ""roof:material""=>""concrete"
41,,211903388,Sindu Dental clinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Sindu Dental Clinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""14x14"", ""facility:icu""=>""no"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"""
42,,212678297,Charu Polyclinic and Diagonostic Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Charu Polyclinic and Diagonostic Centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""70"", ""capacity:beds""=>""0"", ""operator:type"""
43,,213485542,Cosmos Diagonosis and Research Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""1"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
44,,213485583,Reliance Medicare and Research Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""36"", ""capacity:beds""=>""1"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:b"
45,,216443708,Nepal Beijing Friendship Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""phone""=>""01-4413043"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""26"", ""capacity:beds""=>""4"", ""operator:type""=>""private"", ""roof:material""="
46,,216607337,,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Welcare Hospital and research centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""occupant:day""=>""3"", ""roof:material""=>""concrete"", ""building:bay:x""=>""3"", ""building:bay:y""=>""1"""
47,,216607346,,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""3"", ""operator""=>""welcare hospital and research centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""occupant:day""=>""4"", ""roof:material""=>""concrete"", ""building:bay:x""=>""2"", ""building:bay:y""=>""2"""
48,,217129152,Samrat Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""7"", ""operator:type""=>""private"", ""roof:material""=>""metal"", ""building:bay:"
49,,217604069,siddhi poly clinic and diagonistic center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""phone""=>""01-4427788"", ""retrofit""=>""no"", ""addr:city""=>""gyaneswor"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""operator:type""=>""private"", ""r"
50,,218658111,Shrijanshil Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Shrijanshil Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""narrow_long"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""5"", ""capacity:beds""=>""0"", ""operator:type""=>""pri"
51,,218983847,Jhaukhel Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""1"", ""building"
52,,219394126,Shrijana Medical Centre & Polyclinic,,,clinic,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""buddha dental hospital/shrijana medical centre & polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""U-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""34"", ""capacity:beds""=>""1"""
53,,219395680,Om Samaj Dental Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""Om Samaj Dental Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1990-2000"", ""column:size""=>""9x12"", ""facility:icu""=>""no"", ""occupant:day""=>""185"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roo"
54,,219723951,Gothatar Polyclinic and lab centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""operator""=>""Gothatar Polyclinic ans Lab Centre"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""4"", ""capacity:beds""=>""2"", ""operator:type""=>""pri"
174,,338314635,Jivan Medical Hall,,,hospital,,,,yes,,,,,,,,,,,,,,,
55,,220263462,Chhaling Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Chhaling Health Post"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""narrow_long"", ""start_date""=>""before_1960"", ""facility:icu""=>""no"", ""occupant:day""=>""50"", ""capacity:beds""=>""0"", ""operator:type""=>""government"", ""roof:mat"
56,,221353876,Fatima Healing Centre,,,clinic,,,,yes,,,,,,,,,,,,,,,"""operator""=>""Fatima"", ""facility:icu""=>""no"", ""capacity:beds""=>""12"", ""operator:type""=>""private"", ""building_count""=>""1"", ""facility:x-ray""=>""no"", ""personnel:count""=>""11"", ""opd:patients:count""=>""15"", ""facility:ventilator""=>""no"", ""facility:operating_theatre""=>"
57,,221353886,Blue Lotus Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Blue Lotus Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""20"", ""capacity:beds""=>""9"", ""operator:type""=>""pr"
58,,221353887,The Dental Venue,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""The Dental Venue"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""9"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""con"
59,,221376213,Stupa Community Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""operator""=>""Stupa Community Hospital"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""70-80"", ""capacity:beds""=>""55"", ""operator:type""=>""communit"
60,,221381159,Venus Health Care & Research Centre,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""2"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
61,,221727448,Blue Cross Diagnostic Center,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Blue Cross Diagnostic Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""before_1960"", ""facility:icu""=>""no"", ""occupant:day""=>""35"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:mate"
175,,338831890,Upper Tamakoshi Project Healthposts,,,doctors,,,,health_post,,,,,,,,,,,,,,,"""temp:hospital:type""=>""health_post"", ""hydropower_project:name""=>""Upper Tamakoshi"""
176,,338831891,,,,health_post,,,,yes,,,,,,,,,,,,,,,"""hydropower_project:name""=>""Khimti I"""
62,,221727449,Kathmandu Model Hospital Dental Department,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Kathmandu Model Hospital Dental Department"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""0"", ""operator:type""=>""pr"
63,,222180847,Life Medical Centre Polytechnic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""9"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:"
64,,222180855,Nozomi Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""10"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
65,,222180856,Reliable Polyclinic and Pathology Lab,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""18"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:b"
66,,222838860,JMC Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay"
67,,222864663,manohara samudayik swastha kendra,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""manohara samudayik swastha kendra"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""30"", ""capacity:beds""=>""2"", ""operator"
68,,222872126,Jiwanta Swastha Sewa Sadan,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Jiwanta Swastha Sewa Sadan"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""12x12"", ""facility:icu""=>""no"", ""occupant:day""=>""6"", ""capacity:beds""=>""0"", ""operator:type"""
69,,222872129,Swastik Dental Hospital Pvt. Ltd.,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Swastik Dental Hospital Pvt. Ltd."", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""12"", ""capacity:beds""=>""0"", ""operator"
70,,222872131,Tiwari Poly Clinic and Diagnostic Center,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Tiwari Poly Clinic and Diagnostic Center"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""1990-2000"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""8"", ""capacity:beds""=>""0"","
71,,223033987,Midat Hospital,,,hospital,,,,hospital,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""multiprojected"", ""start_date""=>""2000-2013"", ""column:size""=>""14x14"", ""facility:icu""=>""yes"", ""occupant:day""=>""250"", ""capacity:beds""=>""100"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""bui"
72,,223301199,Pashupati Poyclinicl,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""2000-2013"", ""facility:icu""=>""no"", ""occupant:day""=>""14"", ""capacity:beds""=>""0"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""building:bay:x""=>""1"", ""building:bay:y"""
73,,223500623,Astamatrika Polyclinic,,,clinic,,,,clinic,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Astamatrika Polyclinic"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""column:size""=>""9x9"", ""facility:icu""=>""no"", ""occupant:day""=>""50"", ""operator:type""=>""private"", ""roof:material"
74,,223500984,Danchi Sub Health Post,,,health_post,,,,health_post,,,,,,,,,,,,,,,"""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""facility:icu""=>""no"", ""occupant:day""=>""15"", ""capacity:beds""=>""2"", ""operator:type""=>""government"", ""roof:material""=>""concrete"", ""building:bay:x""=>""3"", ""building"
