OGC_FID,OSM_ID,OSM_WAY_ID,NAME,TYPE,AEROWAY,AMENITY,ADMIN_LEVE,BARRIER,BOUNDARY,BUILDING,CRAFT,GEOLOGICAL,HISTORIC,LAND_AREA,LANDUSE,LEISURE,MAN_MADE,MILITARY,NATURAL,OFFICE,PLACE,SHOP,SPORT,TOURISM,OTHER_TAGS
837,,219627993,Lisha English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6610902"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""1"", ""personnel:count""=>""27"""
838,,219627995,Saraswoti Vidyagriha,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6610202"", ""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""220"", ""building_count""=>""2"", ""personnel:count""=>""27"""
839,,219627998,Shree Bhim Adarsha Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""50"", ""building_count""=>""1"", ""personnel:count""=>""9"""
858,,219630636,Gyan Jyoti Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""450"", ""building_count""=>""4"", ""personnel:count""=>""30"""
840,,219628019,Bageshwori Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6610270"", ""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""3600"", ""building_count""=>""5"", ""personnel:count""=>""40"""
841,,219628766,Araniko Secondary Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""building_count""=>""2"""
842,,219628768,Deep High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""2"", ""personnel:count""=>""27"""
843,,219628975,Madan Bhandari Memorial College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""community"", ""student:count""=>""1500"", ""building_count""=>""2"", ""personnel:count""=>""105"""
844,,219628976,Nobel academy,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4781401"", ""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""1150"", ""building_count""=>""8"", ""personnel:count""=>""100"""
845,,219629528,Dewy Dawn High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""2"", ""personnel:count""=>""14"""
846,,219629552,Apex Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""2"", ""personnel:count""=>""22"""
847,,219629553,Jyoti Gyan Academy Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""215"", ""building_count""=>""1"", ""personnel:count""=>""22"""
848,,219629554,Mount Everest Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""600"", ""building_count""=>""2"", ""personnel:count""=>""45"""
849,,219629555,Sharda Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""government"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""47"""
850,,219629556,Adarsha Jyoti,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""40"", ""building_count""=>""1"", ""personnel:count""=>""5"""
851,,219629557,Balbodh Shanti School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""18"", ""building_count""=>""1"", ""personnel:count""=>""11"""
852,,219629571,Laliguras School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""20"", ""building_count""=>""1"", ""personnel:count""=>""4"""
853,,219629572,Moonshine,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""105"", ""building_count""=>""1"", ""personnel:count""=>""10"""
854,,219629573,Shishu Shayar Kendra,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""community"", ""student:count""=>""48"", ""building_count""=>""1"", ""personnel:count""=>""4"""
855,,219629652,Communicative English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""1"", ""personnel:count""=>""16"""
856,,219629653,Shree Chandeswori Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""40"", ""building_count""=>""3"", ""personnel:count""=>""5"""
857,,219629655,Shree Ganesh Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""225"", ""building_count""=>""2"", ""personnel:count""=>""18"""
2760,,338727774,Moon Light Secondary English Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""operator""=>""Chitra Bahadur Raimajhi"", ""opening_hours""=>""Su - Fr 10:00 - 16:00"""
859,,219630637,Modern Educare Montessori Based School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""100"", ""building_count""=>""1"", ""personnel:count""=>""30"""
860,,219630644,Hopes and Dreams Montessori,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""18"", ""building_count""=>""1"", ""personnel:count""=>""5"""
861,,219631323,Sawal Dyola Primary School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Sawal Dyola Primary School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""column:size""=>""9x9"", ""isced:level""=>""primary"", ""occupant:day""=>""45"", ""operator:type""=>""government"", ""ro"
862,,219631361,Sunshine Secondary Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4490302"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""3"", ""personnel:count""=>""30"""
863,,219631364,College of Applied Sciences,,,college,,,,college,,,,,,,,,,,,,,,"""oid""=>""1"", ""phone""=>""4102687"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""isced:level""=>""college"", ""occupant:day""=>""90"", ""operator:type""=>""private"", ""roof:material""=>""concrete"", ""student:count""=>""80"""
864,,219631371,Shree Brahmayani Pra V,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""retrofit""=>""no"", ""roof:shape""=>""gabled"", ""shape:plan""=>""L-shape"", ""start_date""=>""1960-1990"", ""isced:level""=>""primary"", ""occupant:day""=>""40"", ""operator:type""=>""government"", ""roof:material""=>""thatch"", ""student:count""=>""60"", ""building:bay:x""=>"""
865,,219631565,Azad Lower Secondary School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""2"", ""operator""=>""Ajad Lower Secondary School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""before_1960"", ""isced:level""=>""lower_secondary"", ""occupant:day""=>""50"", ""operator:type""=>""government"", ""roof:material"
866,,219633721,Kumari English Boarding School,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""operator""=>""Kumari English Boarding School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""L-shape"", ""start_date""=>""1960-1990"", ""column:size""=>""9x9"", ""isced:level""=>""secondary"", ""occupant:day""=>""537"", ""operator:type""=>""private"", ""ro"
867,,219633826,Doleshwor School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""80"", ""building_count""=>""1"", ""personnel:count""=>""10"""
868,,219633834,Shree Shanti Niketan School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""170"", ""building_count""=>""2"", ""personnel:count""=>""23"""
869,,219634554,Kathmandu Institute of Technical  Science (KITS),,,college,,,,,,,,,,,,,,,,,,,"""phone""=>""01-4418198"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""120"", ""building_count""=>""1"", ""personnel:count""=>""18"""
870,,219634557,Neric Academy,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""01-4781825"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""38"""
871,,219636294,The Chandbagh School Pipalbot,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""370"", ""building_count""=>""7"", ""personnel:count""=>""50"""
872,,219636396,Pine Ridge Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""80"", ""building_count""=>""3"", ""personnel:count""=>""11"""
873,,219636513,Saraswoti Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""190"", ""building_count""=>""5"", ""personnel:count""=>""14"""
874,,219636522,Jagriti Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""130"", ""building_count""=>""3"", ""personnel:count""=>""10"""
875,,219636527,Bal Ganesh English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""160"", ""building_count""=>""3"", ""personnel:count""=>""13"""
876,,219636967,Geniune Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6612651"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""800"", ""building_count""=>""5"", ""personnel:count""=>""80"""
877,,219636968,Himalayan English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6617073"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""500"", ""building_count""=>""2"", ""personnel:count""=>""30"""
878,,219636969,Manakamana English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""335"", ""building_count""=>""3"", ""personnel:count""=>""28"""
879,,219638218,Happy Home Kinder World,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""49"", ""building_count""=>""1"", ""personnel:count""=>""9"""
880,,219639034,Pancha Kanya School,,,school,,,,,,,,,,,,,,,,,,,"""oid""=>""1"", ""isced:level""=>""primary"", ""operator:type""=>""government"", ""student:count""=>""47"", ""building_count""=>""1"", ""personnel:count""=>""6"""
881,,219639035,Rosham English Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""100"", ""building_count""=>""1"", ""personnel:count""=>""11"""
882,,219639036,Shree Bhubaneshwori Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""102"", ""building_count""=>""2"", ""personnel:count""=>""20"""
883,,219639037,Shree Ram Lower Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""government"", ""student:count""=>""100"", ""building_count""=>""1"", ""personnel:count""=>""14"""
884,,219640822,Bhanubhakta Memorial College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""community"", ""student:count""=>""375"", ""building_count""=>""1"", ""personnel:count""=>""30"""
885,,219640825,Bhanubhakta Memorial Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""2200"", ""building_count""=>""4"", ""personnel:count""=>""135"""
886,,219640827,Chandra Tara School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""80"", ""building_count""=>""3"", ""personnel:count""=>""10"""
887,,219640830,Redhon College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""678"", ""building_count""=>""1"", ""personnel:count""=>""43"""
888,,219640843,Redhon Montessori Pre-School,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""248"", ""building_count""=>""4"", ""personnel:count""=>""16"""
889,,219640845,Redhon School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""263"", ""building_count""=>""1"", ""personnel:count""=>""44"""
890,,219640846,Sunrise Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""4"", ""personnel:count""=>""50"""
891,,219640915,Marie Gold Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4490354"", ""isced:level""=>""primary"", ""operator:type""=>""private"", ""student:count""=>""135"", ""building_count""=>""3"", ""personnel:count""=>""10"""
892,,219640919,Chelsea International Academy,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""14"", ""operator""=>""Chelsea International Academy"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1990-2000"", ""isced:level""=>""college"", ""occupant:day""=>""4"", ""operator:type""=>""private"", ""roof:material""=>""concret"
893,,219640933,Gundu English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""2"", ""personnel:count""=>""30"""
894,,219640934,Student Academy School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""190"", ""building_count""=>""1"", ""personnel:count""=>""17"""
895,,219640938,Wings Montessori,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""41"", ""building_count""=>""2"", ""personnel:count""=>""10"""
896,,219642224,Little Garden English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""425"", ""building_count""=>""2"", ""personnel:count""=>""21"""
897,,219642228,Springdale School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""1"", ""personnel:count""=>""34"""
898,,219643466,East Point English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6612400"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""2"", ""personnel:count""=>""23"""
899,,219643467,Kalika Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6612925"", ""alt_name""=>""Modern Janata English School"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""260"", ""building_count""=>""2"", ""personnel:count""=>""22"""
900,,219643469,Neologian Academy,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6616997"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""513"", ""building_count""=>""3"", ""personnel:count""=>""33"""
901,,219643470,Nyatapole English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6615569"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""650"", ""building_count""=>""3"", ""personnel:count""=>""34"""
902,,219643949,National Model Science School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""4"", ""personnel:count""=>""55"""
903,,219644145,Apollo International College,,,college,,,,,,,,,,,,,,,,,,,"""phone""=>""4474845"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""3"", ""personnel:count""=>""20"""
904,,219644146,Kathmandu Xavier Public School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""014469987"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""2"", ""personnel:count""=>""35"""
905,,219644361,Future Star English School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""6617849"", ""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""2"", ""personnel:count""=>""29"""
906,,219644377,Kanya Co-education Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""government"", ""student:count""=>""500"", ""building_count""=>""1"", ""personnel:count""=>""34"""
907,,219645147,Care Kinder World,,,school,,,,school,,,,,,,,,,,,,,,"""oid""=>""1"", ""phone""=>""6617531"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""2000-2013"", ""column:size""=>""9x9"", ""isced:level""=>""kindergarten"", ""occupant:day""=>""26"", ""operator:type""=>""private"", ""roof:material""=>""concr"
908,,219646092,Ratna Rajya Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4471757"", ""isced:level""=>""higher_secondary"", ""operator:type""=>""government"", ""student:count""=>""1650"", ""building_count""=>""4"", ""personnel:count""=>""66"""
909,,219759757,KFA Business School,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""180"", ""building_count""=>""2"", ""personnel:count""=>""75"""
910,,219775935,Amrit Secondary Boarding School,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""7"", ""personnel:count""=>""30"""
911,,219775936,Aradhana Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""3"", ""personnel:count""=>""26"""
912,,219775937,Basanta Ritu English Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""1"", ""personnel:count""=>""30"""
913,,219775941,Gandaki Public Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""30"""
914,,219775942,Marshyangdi Boarding High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""4"", ""personnel:count""=>""35"""
915,,219775943,Mother International Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""125"", ""building_count""=>""2"", ""personnel:count""=>""18"""
916,,219775946,Navodit College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""761"", ""building_count""=>""3"", ""personnel:count""=>""55"""
917,,219775947,Navodit Vidya Kunja Higher Secondary School,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""320"", ""building_count""=>""2"", ""personnel:count""=>""30"""
918,,219775948,New Himalayan Bidya Mandir Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""800"", ""building_count""=>""1"", ""personnel:count""=>""37"""
919,,219775949,The Imperial Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""3"", ""personnel:count""=>""25"""
920,,219775950,Vijaya Secondary Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""60"", ""building_count""=>""3"", ""personnel:count""=>""15"""
921,,219775951,White Haven Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""35"""
922,,219847139,Dibya Deep Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""2"", ""personnel:count""=>""30"""
923,,219847234,Unique Nepal Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""305"", ""building_count""=>""4"", ""personnel:count""=>""35"""
924,,219848239,Tri Star English Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""250"", ""building_count""=>""1"", ""personnel:count""=>""26"""
925,,219848240,Vision Montessori,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""25"", ""building_count""=>""1"", ""personnel:count""=>""8"""
926,,219848432,Erudite Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""600"", ""building_count""=>""2"", ""personnel:count""=>""70"""
927,,219893803,Sunway International Business School,,,college,,,,college,,,,,,,,,,,,,,,"""oid""=>""1"", ""phone""=>""014464524"", ""operator""=>""Sunway International Business School"", ""retrofit""=>""no"", ""roof:shape""=>""flat"", ""shape:plan""=>""rectangular"", ""start_date""=>""1960-1990"", ""isced:level""=>""college"", ""occupant:day""=>""0"", ""operator:type""=>""private"
928,,219895242,The Aryan School,,,college,,,,,,,,,,,,,,,,,,,"""phone""=>""4485146"", ""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""5"", ""personnel:count""=>""20"""
929,,219896797,International Kindergarten,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""35"", ""building_count""=>""1"", ""personnel:count""=>""18"""
930,,219896798,Parijat Vidya Punja,,,school,,,,,,,,,,,,,,,,,,,"""phone""=>""4474207"", ""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""150"", ""building_count""=>""4"", ""personnel:count""=>""13"""
931,,219898376,New Shrine Academy High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""2"", ""personnel:count""=>""24"""
932,,219899054,Premier College (BBS Block),,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""600"", ""building_count""=>""2"", ""personnel:count""=>""38"""
933,,219900955,Anmol Rastriya College,,,college,,,,,,,,,,,,,,,,,,,"""personnel""=>""15"", ""isced:level""=>""college"", ""student:count""=>""330"", ""building_count""=>""1"""
934,,219900956,Ashirwad College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""672"", ""building_count""=>""5"", ""personnel:count""=>""50"""
935,,219900957,Atlantic International College,,,college,,,,,,,,,,,,,,,,,,,"""isced:level""=>""college"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""1"", ""personnel:count""=>""50"""
936,,219900958,Childrens Eternal Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""500"", ""building_count""=>""3"", ""personnel:count""=>""32"""
937,,219900963,ELIPHSS Pre-School,,,kindergarten,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""142"", ""building_count""=>""2"", ""personnel:count""=>""11"""
938,,219900964,Eternal Light Public Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""750"", ""building_count""=>""6"", ""personnel:count""=>""60"""
939,,219900965,National Star High School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""70"", ""building_count""=>""2"", ""personnel:count""=>""17"""
940,,219900966,Precious National Academy Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""445"", ""building_count""=>""3"", ""personnel:count""=>""58"""
941,,219900967,Siddhi Ganesh Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""community"", ""student:count""=>""650"", ""building_count""=>""2"", ""personnel:count""=>""35"""
942,,219924623,Bright Zone International School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""3"", ""personnel:count""=>""18"""
943,,219924624,Buddha Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""community"", ""student:count""=>""650"", ""building_count""=>""7"", ""personnel:count""=>""63"""
944,,219924625,Ekata James English Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""23"""
945,,219924626,Merryland English School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""410"", ""building_count""=>""2"", ""personnel:count""=>""23"""
946,,219924627,Peace Nepal Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""350"", ""building_count""=>""3"", ""personnel:count""=>""23"""
947,,219924628,Pearls English Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""400"", ""building_count""=>""3"", ""personnel:count""=>""28"""
948,,219924629,Timeline International Academy,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""lower_secondary"", ""operator:type""=>""private"", ""student:count""=>""280"", ""building_count""=>""2"", ""personnel:count""=>""25"""
949,,219928576,Ages Graded English Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""200"", ""building_count""=>""2"", ""personnel:count""=>""20"""
950,,219928577,Arun Jyoti Vidya Mandir,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""300"", ""building_count""=>""3"", ""personnel:count""=>""21"""
951,,219928578,Centennial Higher Secondary School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""higher_secondary"", ""operator:type""=>""private"", ""student:count""=>""700"", ""building_count""=>""4"", ""personnel:count""=>""50"""
952,,219928579,Children's Garden Pre-School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""kindergarten"", ""operator:type""=>""private"", ""student:count""=>""20"", ""building_count""=>""1"", ""personnel:count""=>""6"""
953,,219928580,Children's Liberty English Boarding School,,,school,,,,,,,,,,,,,,,,,,,"""isced:level""=>""secondary"", ""operator:type""=>""private"", ""student:count""=>""700"", ""building_count""=>""1"", ""personnel:count""=>""50"""
